certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
2432-7029-0209-0525-2292,UB3 1RD,29,CLEVEDON GARDENS,55.0,,,
9135-7929-0400-0446-5292,UB3 2BQ,53,EVERGREEN WAY,73.0,,,
0360-2871-1480-2924-2051,UB3 1QY,5,WINDSOR GARDENS,73.0,,,
0043-1202-3905-2943-1400,UB3 2BH,111,EVERGREEN WAY,53.0,,,
8649-6923-8640-6895-7926,UB3 1SF,26A,NIELD ROAD,73.0,,,
0340-2998-1360-2424-1985,UB3 4QX,8,ROSEVILLE ROAD,84.0,,,
0568-8071-7235-3055-8920,UB3 5HQ,107,SAUNTON AVENUE,52.0,,,
0320-2423-2230-2927-2841,UB3 1JP,58,BEECHWOOD AVENUE,143.0,,,
0370-2436-8340-2424-8741,UB3 1JG,45,CHESTNUT CLOSE,100.0,,,
0350-2557-1330-2604-6931,UB3 2AX,63,MORAY AVENUE,85.0,,,
2524-3049-4204-1445-5204,UB3 1LW,32,SHEPISTON LANE,102.0,,,
3134-3727-0300-0861-5206,UB3 1RJ,12,SNOWDON CRESCENT,91.0,,,
9138-7042-7217-6190-7210,UB3 2UT,8,WILLENHALL DRIVE,62.0,,,
7634-1524-7300-0859-6202,UB3 1LU,37,DAWLEY ROAD,125.0,,,
3634-0129-1300-0564-4226,UB3 1TL,4,MILDRED AVENUE,103.0,,,
0180-2978-0192-2327-9485,UB3 2QG,104,TUDOR ROAD,77.0,,,
0125-2856-7978-9028-7421,UB3 2PJ,29,ST JEROMES GROVE,76.0,,,
1400-1946-0622-1399-3243,UB3 3AH,38,STIRLING ROAD,93.0,,,
2021-6634-9020-2000-0921,UB3 2FJ,113,VARCOE GARDENS,135.0,,,
8400-4255-2122-3190-1123,UB3 2PS,95,CROMWELL ROAD,146.0,,,
8358-7127-5780-8793-5926,UB3 1NJ,4,WOODHOUSE CLOSE,56.0,,,
7315-9104-2002-0493-2006,UB3 3BT,20,LITTLE ROAD,81.0,,,
9659-2800-6302-9498-4801,UB3 1TH,12,COLBROOK CLOSE,80.0,,,
8401-2639-8929-3996-2383,UB3 1QL,23,BOURNE AVENUE,80.0,,,
6837-5125-1200-0678-9202,UB3 2JG,9,HEMMEN LANE,59.0,,,
5634-5125-0300-0583-8296,UB3 4PQ,24,WYRE GROVE,89.0,,,
2110-4541-7020-5105-1225,UB3 2BE,89,BOTWELL CRESCENT,48.0,,,
0110-2648-9010-2109-9291,UB3 5LR,9,CHEVIOT CLOSE,81.0,,,
8775-7125-3550-0658-1992,UB3 1BY,39,BLYTH ROAD,59.0,,,
4337-6529-8309-0437-2222,UB3 1NG,21,PINKWELL AVENUE,66.0,,,
4919-3120-3009-0463-2202,UB3 1NQ,31,PINKWELL AVENUE,80.0,,,
0300-2124-2370-2094-0625,UB3 5HF,36,SHORTLANDS,84.0,,,
0320-2123-7270-2024-0061,UB3 1DB,85,BLYTH ROAD,83.0,,,
9727-3038-0206-8044-9204,UB3 4NL,29,NORTH HYDE ROAD,59.0,,,
0300-2932-1340-2994-1661,UB3 1TG,6,COLBROOK AVENUE,102.0,,,
8566-6823-9870-9842-9926,UB3 2FJ,121,VARCOE GARDENS,151.0,,,
0800-5229-0822-2329-3543,UB3 2DD,8,REID CLOSE,83.0,,,
5390-8898-0122-8492-3943,UB3 2UX,91,WILLENHALL DRIVE,27.0,,,
0192-3039-5203-1164-5200,UB3 1QE,12,DENBIGH DRIVE,87.0,,,
9360-2825-9590-2305-0641,UB3 5AL,84,BATH ROAD,129.0,,,
8280-7626-7130-2025-9222,UB3 2QJ,47,CRANMER ROAD,90.0,,,
2735-3037-7204-5844-4200,UB3 2SU,46,ROSSLYN CLOSE,50.0,,,
8100-5372-0222-8495-3843,UB3 5DY,17,BRICKFIELD LANE,85.0,,,
8234-9328-8400-0467-0292,UB3 5DY,16,BRICKFIELD LANE,85.0,,,
4034-1323-9400-0425-0226,UB3 5DY,14,BRICKFIELD LANE,88.0,,,
0458-6073-7275-0587-0910,UB3 2NN,21,LYCH GATE WALK,93.0,,,
9542-3041-0201-6834-9200,UB3 3PB,52,BIRCHWAY,116.0,,,
2248-6087-7232-6721-9934,UB3 2PR,39,CROMWELL ROAD,70.0,,,
8909-9694-7329-9426-4713,UB3 2BY,44,CENTRAL AVENUE,89.0,,,
2540-3041-1201-0174-9204,UB3 1JD,104,BOTWELL COMMON ROAD,104.0,,,
0360-2177-0350-2324-6851,UB3 5LW,86,PENNINE WAY,88.0,,,
2378-3041-2208-6714-3200,UB3 4RB,19,CARFAX ROAD,138.0,,,
2353-3039-4206-9014-4204,UB3 2RE,1,SOUTH WALK,76.0,,,
0330-2975-6340-2224-7545,UB3 5DQ,329,HIGH STREET,119.0,,,
2552-3028-2203-1137-8200,UB3 2RD,5,MIDDLETON ROAD,80.0,,,
1919-4123-2000-0411-2292,UB3 3PY,17,GADE CLOSE,56.0,,,
8765-6626-6960-5454-8996,UB3 1JG,55,CHESTNUT CLOSE,84.0,,,
2130-1742-7050-1191-9291,UB3 2QA,7,TUDOR ROAD,108.0,,,
9390-2067-5400-2504-5255,UB3 1RB,40,BURNHAM GARDENS,59.0,,,
0300-2053-1350-2194-8875,UB3 1PJ,59,PINKWELL LANE,81.0,,,
0154-3034-5202-9344-5200,UB3 2NS,47,BARRA HALL ROAD,85.0,,,
2053-3042-7203-1725-1200,UB3 5LR,15,CHEVIOT CLOSE,78.0,,,
2130-4845-3040-5100-2225,UB3 1JT,18,PRINCES PARK LANE,77.0,,,
8199-5116-5729-0107-8013,UB3 1SB,10,ST ANSELMS ROAD,116.0,,,
9571-3020-4201-0782-3200,UB3 3BT,2,LITTLE ROAD,168.0,,,
9741-3020-5201-8292-3204,UB3 2TG,89,BISHOPS ROAD,157.0,,,
9537-3040-7203-6224-1204,UB3 2BY,36,CENTRAL AVENUE,91.0,,,
0121-3035-2207-7324-5200,UB3 2EA,13,GLEBE ROAD,106.0,,,
9615-3036-5204-5584-9200,UB3 1QB,36,GLAMIS CRESCENT,154.0,,,
0353-2857-7494-9928-0835,UB3 5AF,16,CAROLINE PLACE,42.0,,,
5534-3426-1300-0968-9222,UB3 5EQ,60,MANOR LANE,80.0,,,
9320-3039-4203-1364-9200,UB3 2QD,46,TUDOR ROAD,99.0,,,
2110-3648-7040-4106-9205,UB3 2AF,112,BOTWELL LANE,65.0,,,
7908-2001-7207-4836-6994,UB3 2TR,139,YORK AVENUE,85.0,,,
3600-5780-0722-4308-3443,UB3 2FY,3,MONARCH DRIVE,125.0,,,
8903-6323-6190-9351-0922,UB3 1QY,18,WINDSOR GARDENS,52.0,,,
8809-1486-0229-1527-5913,UB3 3LJ,32,MOUNT ROAD,109.0,,,
5100-5892-0322-7491-3143,UB3 5BQ,53,NEW ROAD,77.0,,,
0798-8911-7289-5543-8990,UB3 2NL,2,BELL HOUSE COTTAGES,58.0,,,
4819-1124-2000-0460-2296,UB3 2PP,20,CROMWELL ROAD,101.0,,,
6337-5229-3309-0725-2292,UB3 2FE,10,DIVINE WAY,112.0,,,
2722-1225-7161-2141-7477,UB3 1NP,113,WENTWORTH CRESCENT,82.0,,,
0320-2830-4340-2894-0635,UB3 2TB,30,BISHOPS ROAD,73.0,,,
2130-8043-5040-7105-7201,UB3 4AG,19,RUTLAND ROAD,87.0,,,
6900-6216-0822-1203-3873,UB3 2UU,41,WILLENHALL DRIVE,60.0,,,
8626-7822-0609-4787-4996,UB3 5NB,66,THE CRESCENT,57.0,,,
8105-3383-2329-4397-3253,UB3 3PY,52,GADE CLOSE,50.0,,,
0400-5004-0122-2324-3943,UB3 1JY,71,PRINCES PARK LANE,90.0,,,
0838-2854-7840-9425-0575,UB3 2EA,17,GLEBE ROAD,97.0,,,
2450-3043-9204-0315-6204,UB3 3PJ,37,ABBEY CLOSE,52.0,,,
0390-2663-3320-2324-8575,UB3 5DP,162,HIGH STREET,103.0,,,
7434-5523-1300-0629-9202,UB3 3PX,29,CLIVESDALE DRIVE,42.0,,,
0349-2874-6124-9591-1595,UB3 1SW,37,NINE ACRES CLOSE,109.0,,,
9430-2803-7995-9524-5871,UB3 5HH,23,PENDELL AVENUE,79.0,,,
8807-7325-4090-0066-3292,UB3 2FN,14,HAMBLE DRIVE,103.0,,,
7235-1128-0500-0303-4226,UB3 2AT,36,FORRIS AVENUE,59.0,,,
4530-2329-6009-0171-1206,UB3 2DD,10,REID CLOSE,65.0,,,
6537-6321-0300-0771-0296,UB3 2NN,11,LYCH GATE WALK,80.0,,,
0021-2435-9010-2029-2935,UB3 2FF,38,VARCOE GARDENS,123.0,,,
1134-3223-1400-0817-0222,UB3 5LT,22,WEST END LANE,57.0,,,
2334-2228-8400-0447-1222,UB3 2QD,65,TUDOR ROAD,81.0,,,
2773-3042-8201-5404-2200,UB3 1QZ,33,MARLOW GARDENS,69.0,,,
9068-5078-6261-6784-4920,UB3 5ND,16,FIELD CLOSE,54.0,,,
0360-2702-2330-2604-6921,UB3 2AN,189,BOTWELL LANE,85.0,,,
2878-6108-2151-6117-8128,UB3 2RJ,7,WOOD END,80.0,,,
2095-3931-1200-4877-4204,UB3 3PD,100,BIRCHWAY,73.0,,,
0736-3037-9205-4324-7204,UB3 2QX,20,ANGEL LANE,90.0,,,
6600-6916-0022-8306-3443,UB3 4AN,258,STATION ROAD,96.0,,,
0330-2705-5310-2527-0051,UB3 5NA,44,THE CRESCENT,53.0,,,
9130-2440-8090-2172-9255,UB3 1TD,84,WALTHAM AVENUE,104.0,,,
2276-3038-3205-7064-3200,UB3 5LJ,104,PENNINE WAY,61.0,,,
9334-1128-0400-0949-1226,UB3 1TQ,51,COLBROOK AVENUE,93.0,,,
9632-8725-1100-0186-6226,UB3 5LR,22,CHEVIOT CLOSE,42.0,,,
6200-5698-0422-0496-3343,UB3 4JE,271,STATION ROAD,96.0,,,
9434-5226-8300-0262-9296,UB3 1JW,54,BEECHWOOD AVENUE,74.0,,,
0474-3037-4205-1164-7204,UB3 1LX,79,DAWLEY ROAD,52.0,,,
2260-3040-4203-7384-3204,UB3 5LB,12,HALL LANE,74.0,,,
