property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1EAE3DF6-20BA-9EB1-E063-4704A8C09D02,UB3 2RS,"GEORGE COURT, 89",GRANGE ROAD,F,2024-03-15,112500,,,,
2859C1AB-7720-52B4-E063-4804A8C05948,UB3 1FN,14,POWERHOUSE LANE,F,2024-03-15,260000,,,,
2131FCF5-A64F-86E8-E063-4804A8C0372B,UB3 4BN,4,COPTHORNE MEWS,F,2024-03-18,170000,,,,
2859C1AB-774E-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-03-20,310000,,,,
1EAE3DF7-6984-9EB1-E063-4704A8C09D02,UB3 3BU,2,CHALFONT ROAD,T,2024-03-20,532000,,,,
2131FCF5-A6D0-86E8-E063-4804A8C0372B,UB3 4BQ,VANTAGE BUILDING,STATION APPROACH,F,2024-03-22,225000,,,,
1EAE3DF6-C357-9EB1-E063-4704A8C09D02,UB3 2AX,62,MORAY AVENUE,S,2024-03-22,562000,,,,
1EAE3DF6-21C9-9EB1-E063-4704A8C09D02,UB3 1AA,"UNION HOUSE, 23",CLAYTON ROAD,F,2024-03-26,265000,,,,
2859C1AB-7752-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-03-26,300000,,,,
25E9DA81-E4B3-555E-E063-4704A8C066F2,UB3 2PP,17,CROMWELL ROAD,S,2024-03-26,490000,,,,
2131FCF6-429D-86E8-E063-4804A8C0372B,UB3 1TA,6,WALTHAM AVENUE,S,2024-03-27,510000,,,,
1EAE3DF6-C83F-9EB1-E063-4704A8C09D02,UB3 2HZ,25,EASTHOLME,T,2024-03-27,490000,,,,
2859C1AB-773F-52B4-E063-4804A8C05948,UB3 1FN,14,POWERHOUSE LANE,F,2024-03-28,258000,,,,
2859C1AB-7744-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-03-28,325000,,,,
34222871-E70B-4D2B-E063-4704A8C07853,UB3 5AF,33,CAROLINE PLACE,F,2024-03-28,225500,,,,
2859C1AC-D72E-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-03-28,315000,,,,
237B17FD-9179-22AC-E063-4804A8C0EA3A,UB3 1JN,3,BEECHWOOD AVENUE,S,2024-03-28,430000,,,,
237B17FD-9188-22AC-E063-4804A8C0EA3A,UB3 5BH,48,BOLTONS LANE,S,2024-03-28,205000,,,,
2131FCF5-ABA1-86E8-E063-4804A8C0372B,UB3 2SG,93,WOOD END GREEN ROAD,F,2024-04-02,240000,,,,
1A0C5C63-062E-7CBE-E063-4804A8C06C96,UB3 4EX,80,WOOLACOMBE WAY,T,2024-04-03,385000,,,,
1C3E72FF-0DB4-F410-E063-4804A8C0DFA6,UB3 4NJ,19,NORTH HYDE ROAD,D,2024-04-04,515000,,,,
2859C1AC-D732-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-04-05,340000,,,,
2ACACE8D-9470-295E-E063-4804A8C0B0EB,UB3 1EB,14,DAWLEY PARADE,T,2024-04-05,465000,,,,
31C68072-DFBF-FEE3-E063-4804A8C04F37,UB3 4GE,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-04-05,536750,,,,
237B17FE-3F27-22AC-E063-4804A8C0EA3A,UB3 1PL,14,SKIPTON DRIVE,S,2024-04-05,485000,,,,
25E9DA81-BFF1-555E-E063-4704A8C066F2,UB3 5AE,28,DAVID CLOSE,F,2024-04-05,120000,,,,
2D4D7608-93BC-BDF9-E063-4804A8C0672F,UB3 4GE,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-04-08,489020,,,,
2859C1AB-775C-52B4-E063-4804A8C05948,UB3 1FN,14,POWERHOUSE LANE,F,2024-04-09,260000,,,,
1775CCF7-F5E3-38BA-E063-4704A8C05A7C,UB3 2AT,37,FORRIS AVENUE,F,2024-04-09,152000,,,,
1C3E72FF-0EE1-F410-E063-4804A8C0DFA6,UB3 2AT,37,FORRIS AVENUE,F,2024-04-09,169000,,,,
237B17FD-924B-22AC-E063-4804A8C0EA3A,UB3 2SU,42,ROSSLYN CLOSE,F,2024-04-10,270000,,,,
1C3E72FF-0E1F-F410-E063-4804A8C0DFA6,UB3 4AX,24,REDMEAD ROAD,T,2024-04-11,550000,,,,
1775CCF7-F50C-38BA-E063-4704A8C05A7C,UB3 1BA,88,CLAYTON ROAD,T,2024-04-12,345000,,,,
2131FCF6-45C9-86E8-E063-4804A8C0372B,UB3 5BW,6,HARLINGTON CLOSE,S,2024-04-12,435000,,,,
2859C1AB-7741-52B4-E063-4804A8C05948,UB3 1FN,14,POWERHOUSE LANE,F,2024-04-12,270000,,,,
2131FCF5-A813-86E8-E063-4804A8C0372B,UB3 2RQ,11,DAWSON CLOSE,T,2024-04-15,440000,,,,
1C3E72FE-E8F7-F410-E063-4804A8C0DFA6,UB3 4JR,82,CROWLAND AVENUE,S,2024-04-15,435000,,,,
1775CCF7-63B7-38BA-E063-4704A8C05A7C,UB3 5HR,29,ETON ROAD,S,2024-04-15,254253,,,,
