unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
1A0C5C63-812A-7CBE-E063-4804A8C06C96,377500,2024-04-26,W13 9PW,F,,F,60,PURSEWARDENS CLOSE,A
237B17FE-3F0D-22AC-E063-4804A8C0EA3A,790000,2024-04-26,W13 9UX,T,,F,90,MAYFIELD AVENUE,A
1A0C5C64-0114-7CBE-E063-4804A8C06C96,850000,2024-04-26,W13 9RB,O,,F,18,LEYBORNE AVENUE,B
1C3E72FD-C403-F410-E063-4804A8C0DFA6,365950,2024-04-26,W13 9LD,F,,F,LIDO HOUSE,NORTHFIELD AVENUE,A
2131FCF6-44FD-86E8-E063-4804A8C0372B,625000,2024-04-29,W13 8JE,T,,F,23,HERONSFORDE,A
34222873-0E9B-4D2B-E063-4704A8C07853,885000,2024-04-29,W13 0AX,S,,F,7,CROSSWAY,B
1C3E72FE-E960-F410-E063-4804A8C0DFA6,246950,2024-05-01,W13 8QZ,F,,F,HASTINGS HOUSE,HASTINGS ROAD,B
237B17FE-3B0A-22AC-E063-4804A8C0EA3A,2500000,2024-05-01,W13 8JT,D,,F,105,THE AVENUE,A
1A0C5C63-E2E5-7CBE-E063-4804A8C06C96,600000,2024-05-02,W13 0SU,T,,F,42A,BROADWAY,B
237B17FD-92BF-22AC-E063-4804A8C0EA3A,700500,2024-05-02,W13 0RE,T,,F,17,ENDSLEIGH ROAD,A
1A0C5C63-0612-7CBE-E063-4804A8C06C96,440000,2024-05-03,W13 9RD,F,,F,ST. AIDAN'S COURT,ST AIDANS ROAD,A
1C3E72FE-656F-F410-E063-4804A8C0DFA6,690000,2024-05-07,W13 9TF,T,,F,13,BELSIZE AVENUE,A
2D4D7608-9180-BDF9-E063-4804A8C0672F,1250000,2024-05-08,W13 0BY,S,,F,4,BRUTON WAY,A
1A0C5C63-7D7D-7CBE-E063-4804A8C06C96,950000,2024-05-09,W13 0LF,T,,F,92,DRAYTON AVENUE,A
1A0C5C63-7E26-7CBE-E063-4804A8C06C96,905550,2024-05-10,W13 9JZ,T,,F,20,GLENFIELD ROAD,A
25E9DA80-5582-555E-E063-4704A8C066F2,335000,2024-05-10,W13 8QH,F,,F,20,HASTINGS ROAD,A
1C3E72FD-C63B-F410-E063-4804A8C0DFA6,340000,2024-05-10,W13 8QH,F,,F,25,HASTINGS ROAD,A
