property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1775CCF7-672E-38BA-E063-4704A8C05A7C,W13 9DS,80,LEIGHTON ROAD,S,2024-04-19,975000,,,,
237B17FE-3A02-22AC-E063-4804A8C0EA3A,W13 8BY,25,WIMBORNE GARDENS,S,2024-04-19,1100000,,,,
402A3A66-ABD8-A7DF-E063-4804A8C0B80D,W13 0AE,FALCON HOUSE,GURNELL GROVE,F,2024-04-19,171000,,,,
2131FCF6-BEA4-86E8-E063-4804A8C0372B,W13 0AE,FALCON HOUSE,GURNELL GROVE,F,2024-04-19,180000,,,,
2131FCF5-A72A-86E8-E063-4804A8C0372B,W13 9QZ,87,CAMBORNE AVENUE,F,2024-04-19,580000,,,,
237B17FE-3F1B-22AC-E063-4804A8C0EA3A,W13 8EW,17,RAVENSBOURNE GARDENS,S,2024-04-25,1160000,,,,
237B17FE-39C2-22AC-E063-4804A8C0EA3A,W13 0LD,28,DRAYTON ROAD,T,2024-04-26,1260000,,,,
1A0C5C63-812A-7CBE-E063-4804A8C06C96,W13 9PW,60,PURSEWARDENS CLOSE,F,2024-04-26,377500,,,,
237B17FE-3F0D-22AC-E063-4804A8C0EA3A,W13 9UX,90,MAYFIELD AVENUE,T,2024-04-26,790000,,,,
1C3E72FD-C403-F410-E063-4804A8C0DFA6,W13 9LD,LIDO HOUSE,NORTHFIELD AVENUE,F,2024-04-26,365950,,,,
2131FCF6-44FD-86E8-E063-4804A8C0372B,W13 8JE,23,HERONSFORDE,T,2024-04-29,625000,,,,
34222873-0E9B-4D2B-E063-4704A8C07853,W13 0AX,7,CROSSWAY,S,2024-04-29,885000,,,,
1C3E72FE-E960-F410-E063-4804A8C0DFA6,W13 8QZ,HASTINGS HOUSE,HASTINGS ROAD,F,2024-05-01,246950,,,,
237B17FE-3B0A-22AC-E063-4804A8C0EA3A,W13 8JT,105,THE AVENUE,D,2024-05-01,2500000,,,,
1A0C5C63-E2E5-7CBE-E063-4804A8C06C96,W13 0SU,42A,BROADWAY,T,2024-05-02,600000,,,,
237B17FD-92BF-22AC-E063-4804A8C0EA3A,W13 0RE,17,ENDSLEIGH ROAD,T,2024-05-02,700500,,,,
1A0C5C63-0612-7CBE-E063-4804A8C06C96,W13 9RD,ST. AIDAN'S COURT,ST AIDANS ROAD,F,2024-05-03,440000,,,,
1C3E72FE-656F-F410-E063-4804A8C0DFA6,W13 9TF,13,BELSIZE AVENUE,T,2024-05-07,690000,,,,
2D4D7608-9180-BDF9-E063-4804A8C0672F,W13 0BY,4,BRUTON WAY,S,2024-05-08,1250000,,,,
1A0C5C63-7D7D-7CBE-E063-4804A8C06C96,W13 0LF,92,DRAYTON AVENUE,T,2024-05-09,950000,,,,
1A0C5C63-7E26-7CBE-E063-4804A8C06C96,W13 9JZ,20,GLENFIELD ROAD,T,2024-05-10,905550,,,,
25E9DA80-5582-555E-E063-4704A8C066F2,W13 8QH,20,HASTINGS ROAD,F,2024-05-10,335000,,,,
1C3E72FD-C63B-F410-E063-4804A8C0DFA6,W13 8QH,25,HASTINGS ROAD,F,2024-05-10,340000,,,,
2859C1AC-35FC-52B4-E063-4804A8C05948,W13 9UT,85,MAYFIELD AVENUE,T,2024-05-10,990000,,,,
237B17FE-3B1F-22AC-E063-4804A8C0EA3A,W13 9XW,49,RIDLEY AVENUE,T,2024-05-10,608000,,,,
1C3E72FD-C48D-F410-E063-4804A8C0DFA6,W13 9XJ,21,JEFFERSON CLOSE,F,2024-05-13,325000,,,,
237B17FD-9213-22AC-E063-4804A8C0EA3A,W13 9QT,179,NORTHFIELD AVENUE,F,2024-05-13,545500,,,,
1C3E72FE-6943-F410-E063-4804A8C0DFA6,W13 0JN,136,CAVENDISH AVENUE,F,2024-05-16,445000,,,,
1C3E72FE-6643-F410-E063-4804A8C0DFA6,W13 9UG,32,WOODSTOCK AVENUE,T,2024-05-16,1100000,,,,
2F7F2B43-3F75-E08F-E063-4804A8C05A49,W13 9TU,1A,SALISBURY ROAD,T,2024-05-16,733000,,,,
1C3E72FE-659B-F410-E063-4804A8C0DFA6,W13 9LP,51,RATHGAR AVENUE,D,2024-05-20,1790000,,,,
1C3E72FF-0DC7-F410-E063-4804A8C0DFA6,W13 0LW,37,ARGYLE ROAD,S,2024-05-20,1300000,,,,
1EAE3DF6-C7B8-9EB1-E063-4704A8C09D02,W13 0BN,56,AVALON ROAD,S,2024-05-22,670000,,,,
1C3E72FE-69A3-F410-E063-4804A8C0DFA6,W13 9UX,106,MAYFIELD AVENUE,T,2024-05-23,1085000,,,,
1EAE3DF6-214C-9EB1-E063-4704A8C09D02,W13 0AG,DUNLIN HOUSE,GURNELL GROVE,F,2024-05-24,210000,,,,
25E9DA81-2470-555E-E063-4704A8C066F2,W13 9TN,9,BALFOUR ROAD,T,2024-05-24,850000,,,,
25E9DA81-1F1F-555E-E063-4704A8C066F2,W13 9UG,38,WOODSTOCK AVENUE,T,2024-05-24,1035000,,,,
1C3E72FD-C5F7-F410-E063-4804A8C0DFA6,W13 8QA,7,DENBIGH ROAD,F,2024-05-28,967000,,,,
1C3E72FD-C3E3-F410-E063-4804A8C0DFA6,W13 0UL,PERSHORE HOUSE,SINGAPORE ROAD,F,2024-05-29,300000,,,,
2F7F2B42-9F1F-E08F-E063-4804A8C05A49,W13 0TE,6A,CONNAUGHT ROAD,F,2024-05-30,568950,,,,
2859C1AC-FC68-52B4-E063-4804A8C05948,W13 0RL,16,ECCLESTON ROAD,S,2024-05-30,1700000,,,,
1C3E72FE-E8DA-F410-E063-4804A8C0DFA6,W13 0HT,10,PELHAM PLACE,F,2024-05-31,295000,,,,
2859C1AC-5CA5-52B4-E063-4804A8C05948,W13 0BG,25,AVALON ROAD,S,2024-05-31,960000,,,,
1EAE3DF6-230E-9EB1-E063-4704A8C09D02,W13 8RP,11B,ARDEN ROAD,F,2024-05-31,415000,,,,
25E9DA80-5949-555E-E063-4704A8C066F2,W13 9LD,LIDO HOUSE,NORTHFIELD AVENUE,F,2024-05-31,335000,,,,
1C3E72FE-6573-F410-E063-4804A8C0DFA6,W13 9SX,2,NORTHCROFT ROAD,S,2024-06-06,1113300,,,,
1C3E72FE-E8F0-F410-E063-4804A8C0DFA6,W13 8JR,39,THE AVENUE,F,2024-06-07,420000,,,,
2ACACE8D-0DAA-295E-E063-4804A8C0B0EB,W13 9DX,20,COLDERSHAW ROAD,T,2024-06-07,775000,,,,
1C3E72FD-C415-F410-E063-4804A8C0DFA6,W13 9ED,47,ADELAIDE ROAD,F,2024-06-12,370000,,,,
402A3A66-255C-A7DF-E063-4804A8C0B80D,W13 8EW,41A,RAVENSBOURNE GARDENS,F,2024-06-13,847500,,,,
34222873-2C43-4D2B-E063-4704A8C07853,W13 0EE,8,KINGSLEY AVENUE,T,2024-06-14,835000,,,,
1EAE3DF6-2277-9EB1-E063-4704A8C09D02,W13 8PG,14,ALBANY ROAD,F,2024-06-14,571500,,,,
1EAE3DF6-C7F6-9EB1-E063-4704A8C09D02,W13 9NB,2,CULMINGTON ROAD,D,2024-06-14,1245000,,,,
34222872-8FC8-4D2B-E063-4704A8C07853,W13 0JY,53,CAVENDISH AVENUE,F,2024-06-14,370000,,,,
36A61A94-3F73-DEF2-E063-4704A8C046AE,W13 0JZ,221,CAVENDISH AVENUE,F,2024-06-17,450000,,,,
31C68071-AF77-FEE3-E063-4804A8C04F37,W13 0ND,31,CHARLES ROAD,F,2024-06-18,252500,,,,
1EAE3DF6-C7C3-9EB1-E063-4704A8C09D02,W13 8AP,7,NORTH AVENUE,D,2024-06-20,2300000,,,,
1EAE3DF6-C486-9EB1-E063-4704A8C09D02,W13 9YB,75,BURNHAM WAY,T,2024-06-20,705000,,,,
1EAE3DF6-C3FE-9EB1-E063-4704A8C09D02,W13 8HE,27,BRADLEY GARDENS,S,2024-06-20,1535000,,,,
2F7F2B43-BF84-E08F-E063-4804A8C05A49,W13 9DN,GARDENVIEW HOUSE,NORTHFIELD AVENUE,F,2024-06-21,97500,,,,
2F7F2B43-BF83-E08F-E063-4804A8C05A49,W13 9DN,GARDENVIEW HOUSE,NORTHFIELD AVENUE,F,2024-06-21,97500,,,,
2F7F2B43-BF81-E08F-E063-4804A8C05A49,W13 9DN,GARDENVIEW HOUSE,NORTHFIELD AVENUE,F,2024-06-21,520000,,,,
2F7F2B43-BF82-E08F-E063-4804A8C05A49,W13 9DN,GARDENVIEW HOUSE,NORTHFIELD AVENUE,F,2024-06-21,520000,,,,
2F7F2B43-BF74-E08F-E063-4804A8C05A49,W13 9DN,GARDENVIEW HOUSE,NORTHFIELD AVENUE,F,2024-06-21,520000,,,,
1EAE3DF6-2264-9EB1-E063-4704A8C09D02,W13 0FJ,PEREGRINE HOUSE,GURNELL GROVE,F,2024-06-26,452000,,,,
1EAE3DF6-C88A-9EB1-E063-4704A8C09D02,W13 9PN,14,PURSEWARDENS CLOSE,F,2024-06-26,330000,,,,
2D4D7609-3F64-BDF9-E063-4804A8C0672F,W13 9TA,"MAYO COURT, 133",NORTHCROFT ROAD,F,2024-06-27,205000,,,,
1EAE3DF6-C778-9EB1-E063-4704A8C09D02,W13 8HN,10,LAKESIDE,T,2024-06-27,534000,,,,
25E9DA81-2051-555E-E063-4704A8C066F2,W13 8DF,21,BELLEVUE ROAD,T,2024-06-28,962000,,,,
1EAE3DF6-C349-9EB1-E063-4704A8C09D02,W13 9TP,160,MIDHURST ROAD,S,2024-06-28,915000,,,,
1EAE3DF6-211B-9EB1-E063-4704A8C09D02,W13 0DP,ASHMEAD HOUSE,TEWKESBURY ROAD,F,2024-06-28,475000,,,,
25E9DA81-24E3-555E-E063-4704A8C066F2,W13 9LP,19,RATHGAR AVENUE,S,2024-07-01,947500,,,,
1EAE3DF6-C3DE-9EB1-E063-4704A8C09D02,W13 0NU,52,FELIX ROAD,T,2024-07-01,594950,,,,
25E9DA81-201C-555E-E063-4704A8C066F2,W13 9EB,96,ADELAIDE ROAD,T,2024-07-02,915000,,,,
1EAE3DF6-C84C-9EB1-E063-4704A8C09D02,W13 9XJ,14,JEFFERSON CLOSE,T,2024-07-03,465000,,,,
237B17FE-3A40-22AC-E063-4804A8C0EA3A,W13 8RG,10,DENMARK ROAD,S,2024-07-04,1030000,,,,
2D4D7608-9088-BDF9-E063-4804A8C0672F,W13 8JF,THE CEDARS,HERONSFORDE,F,2024-07-04,510000,,,,
25E9DA81-1F3D-555E-E063-4704A8C066F2,W13 9SY,24,NORTHFIELD ROAD,T,2024-07-04,875000,,,,
2859C1AC-366B-52B4-E063-4804A8C05948,W13 9HS,135,SEAFORD ROAD,T,2024-07-05,805000,,,,
2131FCF5-AB90-86E8-E063-4804A8C0372B,W13 8QJ,CRAIG HOUSE,HARTINGTON ROAD,F,2024-07-05,345000,,,,
25E9DA80-555B-555E-E063-4704A8C066F2,W13 0NW,"LUMINOSITY COURT, 49",DRAYTON GREEN ROAD,F,2024-07-10,422500,,,,
2131FCF6-4104-86E8-E063-4804A8C0372B,W13 8EW,28,RAVENSBOURNE GARDENS,S,2024-07-10,362500,,,,
25E9DA80-5CBB-555E-E063-4704A8C066F2,W13 0HA,1,HIGHVIEW ROAD,T,2024-07-12,990000,,,,
2131FCF5-A62F-86E8-E063-4804A8C0372B,W13 8BQ,"GRENVILLE COURT, 3",KENT AVENUE,F,2024-07-12,500000,,,,
25E9DA81-241F-555E-E063-4704A8C066F2,W13 9ED,5,ADELAIDE ROAD,T,2024-07-12,1280000,,,,
2ACACE8C-89B4-295E-E063-4804A8C0B0EB,W13 8AS,30,SHERBORNE GARDENS,S,2024-07-12,1200000,,,,
25E9DA81-1FAC-555E-E063-4704A8C066F2,W13 9TR,6,NEWLAND GARDENS,T,2024-07-12,1071000,,,,
25E9DA80-5755-555E-E063-4704A8C066F2,W13 9HS,77A,SEAFORD ROAD,F,2024-07-15,500000,,,,
2D4D7609-3E8C-BDF9-E063-4804A8C0672F,W13 0AU,201,ARGYLE ROAD,S,2024-07-15,805000,,,,
1EAE3DF6-C806-9EB1-E063-4704A8C09D02,W13 9SY,16,NORTHFIELD ROAD,S,2024-07-15,775000,,,,
2131FCF6-4757-86E8-E063-4804A8C0372B,W13 9XT,20,MIDHURST ROAD,T,2024-07-16,990000,,,,
34222871-E877-4D2B-E063-4704A8C07853,W13 0HB,8,HIGHVIEW ROAD,T,2024-07-18,795000,,,,
