certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
0320-3622-5080-2394-1861,W13 0NY,13,FELIX ROAD,133.0,,,
3434-2925-9300-0171-7206,W13 8HJ,37,ST STEPHENS ROAD,162.0,,,
2800-6387-0032-8004-3843,W13 0NY,3,FELIX ROAD,132.0,,,
9227-3008-5308-2724-3204,W13 0NY,15,FELIX ROAD,133.0,,,
0884-3008-4308-7504-3204,W13 0NY,7,FELIX ROAD,133.0,,,
0370-2898-4020-2899-7315,W13 0RE,21,ENDSLEIGH ROAD,127.0,,,
8803-9006-0829-3596-4863,W13 0JZ,205,CAVENDISH AVENUE,60.0,,,
8758-7827-5640-1662-0992,W13 9JD,99,WESTFIELD ROAD,78.0,,,
8706-8484-2522-5206-9903,W13 9PN,32,PURSEWARDENS CLOSE,43.0,,,
3300-3285-0022-6527-3353,W13 0LQ,64,DRAYTON GARDENS,146.0,,,
3600-1114-0122-2393-3743,W13 9TJ,135,MIDHURST ROAD,108.0,,,
6534-4127-4300-0351-6292,W13 8JS,73,THE AVENUE,204.0,,,
2033-3039-2206-1454-4204,W13 9EY,74,SYDNEY ROAD,71.0,,,
2637-6326-1200-0112-7202,W13 9TP,130,MIDHURST ROAD,75.0,,,
8734-5727-9300-0518-5206,W13 0RL,52,ECCLESTON ROAD,154.0,,,
0175-5000-0202-7929-5200,W13 8PL,135,GORDON ROAD,143.0,,,
2060-7704-8040-2204-1121,W13 9TZ,19,ERLESMERE GARDENS,106.0,,,
0350-2378-6350-2704-8781,W13 9JP,31,WESTFIELD ROAD,89.0,,,
9138-2026-6285-5956-0994,W13 9AG,9,ST HELENS ROAD,75.0,,,
8115-7221-3590-5907-7926,W13 0DS,22,CHELSEA GARDENS,153.0,,,
9100-7290-0022-6099-0893,W13 0RL,22A,ECCLESTON ROAD,103.0,,,
0458-3038-8206-0824-7200,W13 9QZ,23,CAMBORNE AVENUE,138.0,,,
0048-1064-6274-4668-2020,W13 9TX,26,SALISBURY ROAD,124.0,,,
