property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
152AB733-82B3-E651-E063-4704A8C061D9,SL6 7UR,21,BURCOT GARDENS,S,2024-02-20,415000,,,,
1C3E72FD-D8B5-F410-E063-4804A8C0DFA6,SL6 0QA,42,HILLMEAD COURT,F,2024-02-20,285000,,,,
1C3E72FD-D2EC-F410-E063-4804A8C0DFA6,SL6 4NB,ASHTONS,SANDISPLATT ROAD,D,2024-02-20,1540000,,,,
1C3E72FD-D7C9-F410-E063-4804A8C0DFA6,SL6 0JT,5,RAMBLER CLOSE,S,2024-02-20,520000,,,,
152AB733-83CE-E651-E063-4704A8C061D9,SL6 7NB,CALDER COURT,GRINGER HILL,F,2024-02-20,270000,,,,
1EAE3DF6-3133-9EB1-E063-4704A8C09D02,SL6 4EY,"BOYN HILL COURT, 19",BOYN HILL AVENUE,F,2024-02-21,420000,,,,
1EAE3DF6-334E-9EB1-E063-4704A8C09D02,SL6 8HT,GREENWOOD,ISLET ROAD,D,2024-02-22,980000,,,,
152AB733-891C-E651-E063-4704A8C061D9,SL6 0FD,LANSDOWNE PLACE,INSTITUTE ROAD,F,2024-02-22,355000,,,,
152AB733-828C-E651-E063-4704A8C061D9,SL6 7PW,22,CULHAM DRIVE,S,2024-02-22,535000,,,,
12A8BAB5-E3C8-2125-E063-4804A8C08CC1,SL6 8PX,42,RAY STREET,T,2024-02-23,347000,,,,
1C3E72FD-D402-F410-E063-4804A8C0DFA6,SL6 9JE,1,FAIR VIEW COTTAGES,T,2024-02-23,390000,,,,
1EAE3DF6-31EC-9EB1-E063-4704A8C09D02,SL6 1AQ,BLENHEIM COURT,KINGSQUARTER,F,2024-02-23,285000,,,,
152AB734-6B64-E651-E063-4704A8C061D9,SL6 0GA,19,CLIVEDEN GAGES,T,2024-02-23,535000,,,,
2F7F2B42-B3DD-E08F-E063-4804A8C05A49,SL6 0FN,JUBILEE HOUSE,CORNWALL GARDENS,F,2024-02-23,330000,,,,
1C3E72FD-D3A4-F410-E063-4804A8C0DFA6,SL6 7QN,54,CANNON COURT ROAD,T,2024-02-23,492500,,,,
152AB734-6AA7-E651-E063-4704A8C061D9,SL6 8DJ,"KESTREL COURT, 4",HERON WAY,F,2024-02-23,345000,,,,
1EAE3DF6-3352-9EB1-E063-4704A8C09D02,SL6 5BL,17,HAVELOCK CRESCENT,D,2024-02-23,735000,,,,
2ACACE8C-939D-295E-E063-4804A8C0B0EB,SL6 1BT,RIALTO,CANAL SIDE,F,2024-02-23,355000,,,,
1775CCF7-D783-38BA-E063-4704A8C05A7C,SL6 4JF,3,CROXLEY RISE,F,2024-02-26,210000,,,,
1C3E72FD-D1DC-F410-E063-4804A8C0DFA6,SL6 6SP,10,BROMPTON DRIVE,D,2024-02-26,520000,,,,
25E9DA80-6B23-555E-E063-4704A8C066F2,SL6 1PP,WINBURY COURT,WEST ROAD,F,2024-02-27,290000,,,,
1775CCF6-E63A-38BA-E063-4704A8C05A7C,SL6 8NJ,HITCHAM COURT,RAY MEAD ROAD,F,2024-02-27,400000,,,,
3DCCB7C9-A251-5B9D-E063-4704A8C0331E,SL6 3RU,BEYNHURST HOUSE,INNINGS LANE,D,2024-02-28,1650000,,,,
1EAE3DF6-333E-9EB1-E063-4704A8C09D02,SL6 8EU,5,THE PAGODA,D,2024-02-28,750000,,,,
1EAE3DF6-3196-9EB1-E063-4704A8C09D02,SL6 7RL,1,HORSLEY ROAD,F,2024-02-29,235000,,,,
2F7F2B42-AE74-E08F-E063-4804A8C05A49,SL6 1BT,RIALTO,CANAL SIDE,F,2024-02-29,370000,,,,
2ACACE8C-939E-295E-E063-4804A8C0B0EB,SL6 7HZ,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,F,2024-02-29,355000,,,,
