unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
1C3E72FD-D9CA-F410-E063-4804A8C0DFA6,370000,2024-01-31,SL6 0ET,F,,F,HILL HOUSE,RECTORY ROAD,A
237B17FD-AB5A-22AC-E063-4804A8C0EA3A,260000,2024-01-31,SL6 0FS,F,,F,SPURLAND HOUSE,CORNWALL GARDENS,A
237B17FD-AB50-22AC-E063-4804A8C0EA3A,250000,2024-01-31,SL6 0FN,F,,F,JUBILEE HOUSE,CORNWALL GARDENS,A
2ACACE8C-9393-295E-E063-4804A8C0B0EB,380000,2024-01-31,SL6 1SG,F,,F,19,TRINITY PLACE,A
2859C1AB-84CC-52B4-E063-4804A8C05948,322500,2024-01-31,SL6 3BH,F,,F,KINGSOAK COURT,COX GREEN LANE,A
1A0C5C63-0DFA-7CBE-E063-4804A8C06C96,235000,2024-01-31,SL6 1AR,F,,F,"SALLOW HOUSE, 7",WALLINGFORD WAY,A
2ACACE8C-9399-295E-E063-4804A8C0B0EB,360000,2024-01-31,SL6 1LF,F,,F,COOPER COURT,ST IVES ROAD,A
12A8BAB5-E408-2125-E063-4804A8C08CC1,920000,2024-01-31,SL6 6HY,D,,F,125,COURTHOUSE ROAD,A
12A8BAB5-E78B-2125-E063-4804A8C08CC1,449940,2024-02-01,SL6 9DJ,S,,F,1,BASS MEAD,A
1C3E72FD-D42B-F410-E063-4804A8C0DFA6,450000,2024-02-01,SL6 4RS,S,,F,15,LINGHOLM CLOSE,A
12A8BAB5-E566-2125-E063-4804A8C08CC1,247500,2024-02-01,SL6 6FL,F,,F,SPUR HOUSE,THE CRESCENT,A
38EDC0C2-A591-0F63-E063-4704A8C00424,258000,2024-02-02,SL6 0QA,F,,F,30,HILLMEAD COURT,A
1EAE3DF6-30CE-9EB1-E063-4704A8C09D02,310000,2024-02-02,SL6 8SF,T,,F,45,RAY MILL ROAD WEST,A
12A8BAB6-E400-2125-E063-4804A8C08CC1,585000,2024-02-05,SL6 6NS,T,,F,BARN COTTAGE,WINTER HILL ROAD,B
12A8BAB5-EA16-2125-E063-4804A8C08CC1,315000,2024-02-05,SL6 0DS,F,,F,32,MEADOW WAY,A
25E9DA80-67B0-555E-E063-4704A8C066F2,580000,2024-02-05,SL6 3PR,D,,F,5,BARN DRIVE,A
12A8BAB5-E3BB-2125-E063-4804A8C08CC1,340400,2024-02-07,SL6 1SU,S,,F,37,FOTHERBY COURT,A
1EAE3DF6-372A-9EB1-E063-4704A8C09D02,360000,2024-02-08,SL6 0FD,F,,F,LANSDOWNE PLACE,INSTITUTE ROAD,A
1C3E72FD-DBDC-F410-E063-4804A8C0DFA6,1100000,2024-02-08,SL6 0DA,D,,F,REDWOOD,BERRY HILL,A
1C3E72FD-D3CE-F410-E063-4804A8C0DFA6,590000,2024-02-08,SL6 5DF,S,,F,21,HIGHFIELD ROAD,A
25E9DA80-6CB5-555E-E063-4704A8C066F2,248000,2024-02-09,SL6 7TP,F,,F,MARLBOROUGH HOUSE,CLIVEMONT ROAD,A
1EAE3DF6-3084-9EB1-E063-4704A8C09D02,315000,2024-02-09,SL6 8EF,F,,F,ADDISON COURT,RAY PARK AVENUE,A
12A8BAB5-E3B4-2125-E063-4804A8C08CC1,405000,2024-02-09,SL6 7UP,T,,F,19,FAWLEY CLOSE,A
2ACACE8C-939B-295E-E063-4804A8C0B0EB,277500,2024-02-09,SL6 7HZ,F,,F,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,A
