certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
0319-0125-5000-0094-8222,SL6 8QU,GREENDALE,RAY PARK ROAD,310.0,,,
0674-2810-7488-2620-9695,SL6 6BQ,5,BELMONT VALE,96.0,,,
9394-1003-0281-1927-6204,SL6 6JP,2,PARKSIDE,115.0,,,
0917-3628-6080-0264-3296,SL6 6DZ,60,PORTLOCK ROAD,69.0,,,
7199-3025-8207-6177-5204,SL6 9ES,STEPPES,LOWER ROAD,178.0,,,
8300-9663-8222-3099-1273,SL6 5BN,1,PINE CLOSE,90.0,,,
7800-3712-0222-3009-3893,SL6 6AN,20,LYNTON GREEN,92.0,,,
0053-2890-7064-9078-8495,SL6 6LE,25D,DERWENT DRIVE,83.0,,,
2918-4062-5002-0301-8606,SL6 6SS,64,CRANBROOK DRIVE,110.0,,,
0350-2756-8390-2894-7341,SL6 1LH,1,MOORLAND WAY,127.0,,,
1290-7017-0822-3309-3973,SL6 1SU,9,FOTHERBY COURT,62.0,,,
0757-1908-8209-5239-0200,SL6 8DH,24,IN THE RAY,45.0,,,
9733-3921-2200-2177-3200,SL6 3DR,28,MERCIA ROAD,91.0,,,
9157-3050-4305-6275-3204,SL6 9EB,16A,SOUTHWOOD GARDENS,99.0,,,
8300-9574-8222-3020-1373,SL6 3YR,18,CADWELL DRIVE,61.0,,,
0998-3074-7265-0487-1990,SL6 6DF,21,RAYMOND ROAD,137.0,,,
9573-5064-0203-6897-1200,SL6 3YN,4,GAINSBOROUGH DRIVE,103.0,,,
0412-3621-1080-0542-3202,SL6 3BG,65,ST CHADS ROAD,86.0,,,
0320-2429-5280-2877-2961,SL6 4LZ,6,TALBOTS DRIVE,188.0,,,
2245-3027-5205-5547-0204,SL6 3YW,15,KELSEY CLOSE,104.0,,,
3637-9828-8200-0169-9276,SL6 6DF,6,RAYMOND ROAD,67.0,,,
4537-2729-6309-0780-2276,SL6 3DF,204,NORTHUMBRIA ROAD,84.0,,,
8503-2562-5229-3827-0563,SL6 5HJ,30,SUNDERLAND ROAD,89.0,,,
8006-8243-4529-2897-1453,SL6 7LF,3,PEARCE ROAD,113.0,,,
9414-6097-5002-0328-8606,SL6 1EX,87,GRENFELL ROAD,106.0,,,
7782-5817-7512-5325-0202,SL6 8NJ,THE HOUSE ON THE CREEK,RAY MEAD ROAD,392.0,,,
0658-3930-6200-7227-8200,SL6 1XZ,4,GREEN LANE,111.0,,,
8820-9035-0347-0003-1743,SL6 6JG,5,COURTFIELD DRIVE,114.0,,,
0140-2233-9020-2002-8841,SL6 5EL,72,ALWYN ROAD,129.0,,,
8820-0157-0249-4004-1793,SL6 2ND,JOLLY GARDENER COTTAGE,MONEYROW GREEN,85.0,,,
8576-7522-1769-1756-0902,SL6 1XJ,32,OLDACRES,121.0,,,
2337-5929-5309-0516-1202,SL6 6EE,21A,POWNEY ROAD,52.0,,,
9835-2223-9300-0179-2296,SL6 7RT,82,BRIDLE ROAD,192.0,,,
9055-3029-5208-2707-4200,SL6 0QA,44,HILLMEAD COURT,66.0,,,
0190-8125-0722-5399-3073,SL6 6LA,3,DERWENT DRIVE,148.0,,,
9537-7822-7309-0785-2202,SL6 7UU,85,HUNGERFORD DRIVE,114.0,,,
2215-2610-7816-1411-1111,SL6 6AX,18,COLLEGE AVENUE,251.0,,,
0248-2864-7583-9406-8575,SL6 0LN,8,CARDINALS WALK,88.0,,,
0330-2275-8250-2027-5741,SL6 0JS,5,FERN DRIVE,83.0,,,
6300-9119-1122-3296-0473,SL6 2JR,GREEN OAK COTTAGE,HOLYPORT STREET,101.0,,,
8317-4623-4080-0649-3292,SL6 3YZ,50,THURLBY WAY,96.0,,,
4437-4720-3309-0437-0206,SL6 1BZ,26,RUSHINGTON AVENUE,105.0,,,
5900-5247-0002-1378-1206,SL6 1YQ,7,MONYCROWER DRIVE,95.0,,,
0741-3029-7201-8107-9200,SL6 2YR,35,ARKLEY COURT,77.0,,,
2217-0425-7180-0816-0222,SL6 9HF,SUNNY TOP,LOWER ROAD,59.0,,,
8090-7527-6660-4986-5206,SL6 0DW,11,OAK STUBBS LANE,119.0,,,
0913-1208-6107-6133-0100,SL6 6SD,13,THE PADDOCK,134.0,,,
0951-1208-7102-5837-0700,SL6 6SH,15,GWENDALE,103.0,,,
9846-1003-0283-4847-5204,SL6 6BJ,24,CROMWELL ROAD,90.0,,,
2160-4939-3070-7090-3805,SL6 3HL,3,RUSSET ROAD,95.0,,,
9422-3038-8206-7234-9204,SL6 6SQ,11,MALLOW PARK,88.0,,,
9738-9046-7281-2674-9984,SL6 4NW,18,WEBSTER CLOSE,116.0,,,
0180-2895-0048-2402-3395,SL6 4QS,21,BADMINTON ROAD,95.0,,,
2000-3246-0022-1397-3173,SL6 8RZ,51,SIMPSON CLOSE,111.0,,,
0460-3034-7202-8164-1204,SL6 4QP,4,AUDLEY DRIVE,68.0,,,
8200-7220-3009-1353-1206,SL6 6EQ,50,POWNEY ROAD,98.0,,,
5612-7529-6089-0887-3296,SL6 7UT,42,HUNGERFORD DRIVE,83.0,,,
9307-1910-8280-5152-4204,SL6 6NY,GREENWAYS,BIX LANE,168.0,,,
9846-3025-1204-6247-9204,SL6 2HG,13,AYSGARTH PARK,166.0,,,
9748-5025-7219-6621-2934,SL6 4DG,8,CLARE ROAD,114.0,,,
9363-1004-5285-5107-9200,SL6 0PY,1,STAFFORD CLOSE,116.0,,,
1437-9322-2309-0479-3222,SL6 2LR,16,TRENCHARD ROAD,85.0,,,
0300-2867-2590-2706-1735,SL6 2SB,10,LARCHFIELD ROAD,173.0,,,
5437-7225-9200-0452-6202,SL6 1BB,92,GREENFIELDS,75.0,,,
0160-2414-0018-2507-5355,SL6 6SF,5,BRIAR DENE,11.0,,,
0695-2859-6198-9972-5491,SL6 3DP,9,POWIS CLOSE,70.0,,,
9538-0047-7261-0394-6980,SL6 9LX,9,THE SHAW,85.0,,,
5917-0526-9080-0712-3226,SL6 6SL,47,HEMSDALE,119.0,,,
0300-2620-9230-2497-2851,SL6 3UU,104,BISSLEY DRIVE,79.0,,,
8138-7928-5680-1952-0922,SL6 4QH,17,MAPLE CLOSE,81.0,,,
0300-2779-1230-2107-8841,SL6 8SA,5,RAY MILL ROAD WEST,117.0,,,
2900-8136-0822-8204-3873,SL6 7UU,65,HUNGERFORD DRIVE,65.0,,,
8351-7824-6350-9308-5902,SL6 3YR,22,CADWELL DRIVE,104.0,,,
2600-4318-0322-0204-3573,SL6 1HQ,17,GRENFELL AVENUE,79.0,,,
1400-9054-0522-4609-5373,SL6 6AQ,6A,CRESCENT DRIVE,143.0,,,
9228-1083-7294-6031-9980,SL6 5DF,29,HIGHFIELD ROAD,106.0,,,
9598-2058-7252-1894-6960,SL6 6SW,88,BEVERLEY GARDENS,74.0,,,
9278-3058-7219-4593-3984,SL6 1SX,64,FOTHERBY COURT,66.0,,,
9504-3033-2209-5554-6204,SL6 0DF,BRYONY,MARSH LANE,167.0,,,
0348-6055-6203-8289-1950,SL6 9SF,EASTFLINT FLAT,HIGH STREET,73.0,,,
2140-7231-9070-1000-6801,SL6 5EL,70,ALWYN ROAD,131.0,,,
8406-3296-7122-3496-0803,SL6 3NY,26,FURROW WAY,65.0,,,
2813-1003-9286-9167-6204,SL6 2QU,57,WALKER ROAD,149.0,,,
5590-7414-0622-7508-3053,SL6 2YW,23,MOOR END,127.0,,,
2160-7134-1070-8000-8891,SL6 4AZ,15,NORDEN ROAD,70.0,,,
8606-0211-5329-0507-1283,SL6 4DN,77,CLARE ROAD,131.0,,,
2517-1626-5080-0858-3206,SL6 9QS,12,WOODMOOR END,146.0,,,
8701-1195-8029-5327-0233,SL6 3EJ,22,BRILL CLOSE,134.0,,,
4018-9097-5002-0398-8202,SL6 1TG,10,LANTERN WALK,82.0,,,
9568-3009-5309-1575-0200,SL6 3QL,BANSTOCK COTTAGE,OLD STABLE WAY,239.0,,,
0052-3029-0208-0267-1200,SL6 3UU,106,BISSLEY DRIVE,124.0,,,
9238-3932-0209-3637-3204,SL6 7QN,26,CANNON COURT ROAD,135.0,,,
5519-9057-4002-0320-8292,SL6 4QP,32,AUDLEY DRIVE,55.0,,,
2591-3020-3208-4337-9200,SL6 7RP,18,BRIDLE ROAD,120.0,,,
9900-7021-0732-6025-3553,SL6 3QL,CLYDESDALE HOUSE,OLD STABLE WAY,506.0,,,
2160-1237-7040-0001-9805,SL6 4EB,35,WELBECK ROAD,76.0,,,
0116-2847-7566-9304-9475,SL6 3DZ,39,COX GREEN ROAD,144.0,,,
0052-1208-6807-4409-1700,SL6 3NR,6,CANNON LANE,71.0,,,
8725-7325-3050-8653-3926,SL6 2HF,3,BYLAND DRIVE,128.0,,,
9037-4021-9300-0551-0202,SL6 3YR,66,CADWELL DRIVE,106.0,,,
2418-1022-6293-4198-5030,SL6 1NX,10,PRINCESS STREET,68.0,,,
3137-1426-2200-0868-7206,SL6 5EX,34,HALIFAX ROAD,82.0,,,
6500-3448-0022-7004-3473,SL6 6HN,69,OAKEN GROVE,244.0,,,
2514-6087-5002-0323-8506,SL6 7NN,20,FURZE PLATT ROAD,111.0,,,
2493-3932-1209-7737-4200,SL6 8JU,40,LOWER COOKHAM ROAD,103.0,,,
0845-2844-7045-9096-1271,SL6 9JP,MELIORA,BRIAR GLEN,144.0,,,
2140-4407-9070-4109-2825,SL6 1UA,BRUNELS,OLDFIELD ROAD,102.0,,,
0350-2272-9320-2124-6521,SL6 2RP,35,BRUNEL ROAD,56.0,,,
0437-9026-9200-0861-8226,SL6 6HA,16,CAMDEN ROAD,95.0,,,
